open_time,open,high,low,close,volume
2026-05-18T20:00:00+00:00,76965.11000000,77165.67000000,76899.41000000,76939.84000000,4.62848000
2026-05-18T21:00:00+00:00,76902.33000000,77179.97000000,76832.83000000,77105.27000000,5.24005000
2026-05-18T22:00:00+00:00,77132.35000000,77219.87000000,76932.48000000,77007.73000000,2.89077000
2026-05-18T23:00:00+00:00,77073.23000000,77147.35000000,76990.56000000,77006.42000000,0.11651000
2026-05-19T00:00:00+00:00,77006.42000000,77367.62000000,76967.27000000,77149.18000000,5.17282000
2026-05-19T01:00:00+00:00,77105.69000000,77129.87000000,76661.89000000,76661.89000000,0.31082000
2026-05-19T02:00:00+00:00,76661.89000000,76950.00000000,76500.00000000,76621.35000000,0.05728000
2026-05-19T03:00:00+00:00,76595.47000000,76843.70000000,76595.47000000,76790.67000000,0.02628000
2026-05-19T04:00:00+00:00,76766.96000000,76949.62000000,76692.15000000,76901.58000000,0.08891000
2026-05-19T05:00:00+00:00,76938.89000000,77000.00000000,76651.58000000,76928.61000000,0.06509000
2026-05-19T06:00:00+00:00,76977.51000000,77101.26000000,76937.68000000,77042.22000000,0.13625000
2026-05-19T07:00:00+00:00,77032.90000000,77282.81000000,76986.13000000,77218.91000000,0.03324000
2026-05-19T08:00:00+00:00,77255.76000000,77282.81000000,76967.03000000,77059.53000000,0.02641000
2026-05-19T09:00:00+00:00,77051.77000000,77054.45000000,76743.27000000,76777.64000000,0.05434000
2026-05-19T10:00:00+00:00,76806.79000000,77098.04000000,76724.68000000,77049.26000000,0.03803000
2026-05-19T11:00:00+00:00,77052.72000000,77069.63000000,76670.49000000,76726.62000000,1.30709000
2026-05-19T12:00:00+00:00,76689.86000000,76985.67000000,76681.25000000,76985.67000000,1.38456000
2026-05-19T13:00:00+00:00,76934.53000000,77050.15000000,76594.69000000,76884.55000000,1.26267000
2026-05-19T14:00:00+00:00,76859.12000000,77007.39000000,76153.56000000,76404.78000000,2.90931000
2026-05-19T15:00:00+00:00,76401.11000000,76684.58000000,76370.04000000,76481.58000000,0.52203000
2026-05-19T16:00:00+00:00,76513.07000000,76898.91000000,76439.89000000,76898.91000000,2.28641000
2026-05-19T17:00:00+00:00,76898.91000000,77005.34000000,76722.25000000,76818.75000000,8.70349000
2026-05-19T18:00:00+00:00,76852.75000000,76949.87000000,76785.37000000,76821.62000000,0.49367000
2026-05-19T19:00:00+00:00,76851.01000000,77066.30000000,76805.80000000,76880.00000000,2.55859000
2026-05-19T20:00:00+00:00,76833.91000000,77044.41000000,76833.91000000,77031.06000000,0.11745000
2026-05-19T21:00:00+00:00,77005.73000000,77045.17000000,76972.84000000,77009.99000000,0.56870000
2026-05-19T22:00:00+00:00,77009.99000000,77009.99000000,76656.12000000,76734.91000000,2.28110000
2026-05-19T23:00:00+00:00,76726.93000000,76976.92000000,76709.85000000,76833.85000000,0.04517000
2026-05-20T00:00:00+00:00,76901.97000000,76901.97000000,76527.01000000,76756.39000000,2.79416000
2026-05-20T01:00:00+00:00,76804.25000000,76919.92000000,76567.52000000,76826.97000000,0.33552000
2026-05-20T02:00:00+00:00,76784.33000000,76908.65000000,76637.71000000,76710.88000000,0.05403000
2026-05-20T03:00:00+00:00,76683.10000000,76822.70000000,76587.95000000,76740.99000000,0.11125000
2026-05-20T04:00:00+00:00,76804.52000000,76823.64000000,76741.78000000,76761.63000000,0.16994000
2026-05-20T05:00:00+00:00,76759.60000000,77302.97000000,76758.93000000,77183.49000000,0.69840000
2026-05-20T06:00:00+00:00,77231.85000000,77435.80000000,77218.14000000,77422.78000000,0.36925000
2026-05-20T07:00:00+00:00,77419.57000000,77486.66000000,77278.80000000,77278.80000000,0.97345000
2026-05-20T08:00:00+00:00,77299.39000000,77628.97000000,77266.14000000,77479.28000000,0.09056000
2026-05-20T09:00:00+00:00,77469.70000000,77541.55000000,77419.07000000,77465.39000000,0.58068000
2026-05-20T10:00:00+00:00,77465.39000000,77664.93000000,77465.39000000,77512.13000000,0.08819000
2026-05-20T11:00:00+00:00,77567.60000000,77567.60000000,77375.78000000,77409.68000000,0.03261000
2026-05-20T12:00:00+00:00,77488.61000000,77726.37000000,77389.39000000,77631.63000000,0.32297000
2026-05-20T13:00:00+00:00,77614.25000000,77614.25000000,77000.00000000,77132.50000000,4.65685000
2026-05-20T14:00:00+00:00,77256.04000000,77555.95000000,76876.27000000,77460.77000000,6.72077000
2026-05-20T15:00:00+00:00,77462.03000000,77835.07000000,77307.75000000,77432.58000000,1.48704000
2026-05-20T16:00:00+00:00,77467.47000000,77567.67000000,77025.07000000,77356.97000000,1.07717000
2026-05-20T17:00:00+00:00,77340.47000000,77705.84000000,77250.52000000,77565.74000000,0.68543000
2026-05-20T18:00:00+00:00,77567.00000000,77610.69000000,77390.40000000,77466.29000000,0.70905000
2026-05-20T19:00:00+00:00,77408.08000000,77705.84000000,77373.53000000,77665.58000000,0.43915000
2026-05-20T20:00:00+00:00,77682.09000000,77750.00000000,77486.66000000,77708.54000000,0.35526000
2026-05-20T21:00:00+00:00,77709.58000000,77750.00000000,77488.26000000,77488.26000000,2.60745000
2026-05-20T22:00:00+00:00,77486.66000000,77510.99000000,77231.19000000,77510.99000000,2.93252000
2026-05-20T23:00:00+00:00,77518.92000000,77576.52000000,77409.56000000,77542.46000000,0.31776000
2026-05-21T00:00:00+00:00,77575.77000000,78068.62000000,77554.46000000,77940.50000000,1.91185000
2026-05-21T01:00:00+00:00,77963.11000000,78157.45000000,77812.53000000,77837.34000000,0.56652000
2026-05-21T02:00:00+00:00,77856.43000000,78096.60000000,77843.25000000,77969.64000000,3.14718000
2026-05-21T03:00:00+00:00,77971.31000000,78090.95000000,77925.44000000,78090.95000000,0.27402000
2026-05-21T04:00:00+00:00,78076.97000000,78160.84000000,77965.77000000,78044.71000000,2.09376000
2026-05-21T05:00:00+00:00,78017.56000000,78136.50000000,77782.75000000,77810.95000000,0.31557000
2026-05-21T06:00:00+00:00,77821.14000000,77878.75000000,77555.95000000,77630.81000000,0.24756000
2026-05-21T07:00:00+00:00,77614.34000000,77905.21000000,77515.46000000,77905.21000000,0.25311000
2026-05-21T08:00:00+00:00,77902.39000000,78175.08000000,77902.39000000,77936.14000000,2.67234000
2026-05-21T09:00:00+00:00,77913.56000000,77953.47000000,77653.22000000,77653.22000000,1.71999000
2026-05-21T10:00:00+00:00,77652.14000000,77683.80000000,77179.75000000,77244.26000000,0.37651000
2026-05-21T11:00:00+00:00,77218.95000000,77371.21000000,77143.50000000,77185.28000000,0.44082000
2026-05-21T12:00:00+00:00,77236.22000000,77350.64000000,77105.69000000,77295.36000000,0.24236000
2026-05-21T13:00:00+00:00,77287.80000000,77365.61000000,76750.00000000,77108.39000000,0.86281000
2026-05-21T14:00:00+00:00,77151.80000000,77233.05000000,76794.40000000,76982.02000000,0.42886000
2026-05-21T15:00:00+00:00,76996.38000000,77377.59000000,76923.47000000,77271.73000000,0.23445000
2026-05-21T16:00:00+00:00,77294.08000000,77333.86000000,77046.29000000,77120.36000000,0.71204000
2026-05-21T17:00:00+00:00,77268.10000000,78075.26000000,77188.99000000,78005.11000000,3.54089000
2026-05-21T18:00:00+00:00,77900.34000000,77908.50000000,77268.10000000,77382.86000000,3.04451000
2026-05-21T19:00:00+00:00,77395.67000000,77778.11000000,77376.45000000,77750.42000000,0.51370000
2026-05-21T20:00:00+00:00,77703.07000000,77809.03000000,77661.02000000,77707.15000000,1.38037000
2026-05-21T21:00:00+00:00,77729.44000000,77813.03000000,77678.11000000,77702.09000000,0.38412000
2026-05-21T22:00:00+00:00,77645.64000000,77756.56000000,77560.19000000,77626.77000000,3.46290000
2026-05-21T23:00:00+00:00,77623.44000000,77729.07000000,77556.12000000,77609.93000000,0.15721000
2026-05-22T00:00:00+00:00,77638.44000000,77646.66000000,77375.20000000,77424.77000000,0.68324000
2026-05-22T01:00:00+00:00,77355.92000000,77645.68000000,77317.95000000,77598.28000000,0.16124000
2026-05-22T02:00:00+00:00,77661.55000000,77737.78000000,77615.78000000,77641.94000000,0.11530000
2026-05-22T03:00:00+00:00,77712.63000000,77818.19000000,77686.56000000,77782.10000000,0.17787000
2026-05-22T04:00:00+00:00,77790.72000000,77891.23000000,77638.22000000,77646.14000000,4.60088000
2026-05-22T05:00:00+00:00,77653.50000000,77725.36000000,77486.66000000,77486.66000000,0.55396000
2026-05-22T06:00:00+00:00,77470.92000000,77495.84000000,77393.66000000,77412.02000000,0.07692000
2026-05-22T07:00:00+00:00,77417.91000000,77533.42000000,77295.94000000,77430.48000000,0.50427000
2026-05-22T08:00:00+00:00,77449.79000000,77539.54000000,77239.26000000,77309.25000000,2.77925000
2026-05-22T09:00:00+00:00,77243.90000000,77363.84000000,77243.90000000,77363.84000000,0.00557000
2026-05-22T10:00:00+00:00,77324.34000000,77361.42000000,77276.08000000,77319.07000000,0.03513000
2026-05-22T11:00:00+00:00,77334.03000000,77419.87000000,77187.92000000,77410.08000000,0.31360000
2026-05-22T12:00:00+00:00,77436.78000000,77574.97000000,77405.05000000,77503.74000000,2.29201000
2026-05-22T13:00:00+00:00,77540.35000000,77560.36000000,77154.70000000,77267.63000000,2.20812000
2026-05-22T14:00:00+00:00,77262.90000000,77262.90000000,76743.00000000,76777.05000000,4.79545000
2026-05-22T15:00:00+00:00,76763.28000000,76996.74000000,76592.57000000,76823.75000000,4.91864000
2026-05-22T16:00:00+00:00,76805.16000000,76997.17000000,76764.99000000,76974.10000000,5.07944000
2026-05-22T17:00:00+00:00,76965.41000000,77098.16000000,76751.14000000,76751.14000000,5.80770000
2026-05-22T18:00:00+00:00,76751.16000000,76923.40000000,76127.47000000,76552.57000000,3.63613000
2026-05-22T19:00:00+00:00,76545.14000000,76586.79000000,75701.10000000,75861.38000000,12.19919000
2026-05-22T20:00:00+00:00,75861.38000000,76103.49000000,75836.86000000,75998.88000000,3.49474000
2026-05-22T21:00:00+00:00,75999.61000000,76075.27000000,75957.85000000,75970.42000000,2.87159000
