timestamp,btc_close,equity_sma_crossover,equity_rsi_mean_reversion
2026-05-18 20:00:00+00:00,76939.84,10000.0,10000.0
2026-05-18 21:00:00+00:00,77105.27,10000.0,10000.0
2026-05-18 22:00:00+00:00,77007.73,10000.0,10000.0
2026-05-18 23:00:00+00:00,77006.42,10000.0,10000.0
2026-05-19 00:00:00+00:00,77149.18,10000.0,10000.0
2026-05-19 01:00:00+00:00,76661.89,10000.0,10000.0
2026-05-19 02:00:00+00:00,76621.35,10000.0,10000.0
2026-05-19 03:00:00+00:00,76790.67,10000.0,10000.0
2026-05-19 04:00:00+00:00,76901.58,10000.0,10000.0
2026-05-19 05:00:00+00:00,76928.61,10000.0,10000.0
2026-05-19 06:00:00+00:00,77042.22,10000.0,10000.0
2026-05-19 07:00:00+00:00,77218.91,10000.0,10000.0
2026-05-19 08:00:00+00:00,77059.53,10000.0,10000.0
2026-05-19 09:00:00+00:00,76777.64,10000.0,10000.0
2026-05-19 10:00:00+00:00,77049.26,10000.0,10000.0
2026-05-19 11:00:00+00:00,76726.62,10000.0,10000.0
2026-05-19 12:00:00+00:00,76985.67,10000.0,10000.0
2026-05-19 13:00:00+00:00,76884.55,10000.0,10000.0
2026-05-19 14:00:00+00:00,76404.78,10000.0,10000.0
2026-05-19 15:00:00+00:00,76481.58,10000.0,10000.0
2026-05-19 16:00:00+00:00,76898.91,10000.0,10000.0
2026-05-19 17:00:00+00:00,76818.75,10000.0,10000.0
2026-05-19 18:00:00+00:00,76821.62,10000.0,10000.0
2026-05-19 19:00:00+00:00,76880.0,10000.0,10000.0
2026-05-19 20:00:00+00:00,77031.06,10000.0,10000.0
2026-05-19 21:00:00+00:00,77009.99,10000.0,10000.0
2026-05-19 22:00:00+00:00,76734.91,10000.0,10000.0
2026-05-19 23:00:00+00:00,76833.85,10000.0,10000.0
2026-05-20 00:00:00+00:00,76756.39,10000.0,10000.0
2026-05-20 01:00:00+00:00,76826.97,10000.0,10000.0
2026-05-20 02:00:00+00:00,76710.88,10000.0,10000.0
2026-05-20 03:00:00+00:00,76740.99,10000.0,10000.0
2026-05-20 04:00:00+00:00,76761.63,10000.0,10000.0
